movie id,movie names,plot,IMDb Rating,main cast member id,main cast member name,other cast member id,other cast member name
4139124,Keanu,"When the adorable kitten of an L.A. crime kingpin unexpectedly enters the life of two cousins, they will have to go through tough gangs, pitiless hit-men, and ruthless drug dealers who all claim him, to get him back. How hard can it be?::Nick Riganas",6.2,1443502,Jordan Peele,1221047,Keegan-Michael Key
0303933,Drumline,A band director recruits a Harlem street drummer to play at a Southern university.::Anonymous,5.8,0134244,Nick Cannon,0757855,Zoe Saldana
6418778,Fast Colour,"After years in hiding, a woman is forced to go on the run when her superhuman abilities are discovered. Years after having abandoned her family, the only place she has left to hide is home.",6.0,1813221,Gugu Mbatha-Raw,0000657,David Strathairn
1190536,Black Dynamite,"Black Dynamite is the greatest African-American action star of the 1970s. When his only brother is killed by The Man, it's up to him to find justice.",7.4,0032399,Phyllis Applegate,0044762,Obba Babatundé
0165798,Ghost Dog: The Way of the Samurai,An African-American Mafia hit man who models himself after the samurai of old finds himself targeted for death by the mob.::Kenneth Chisholm,7.5,0001845,Forest Whitaker,0868110,John Tormey
0443489,Dreamgirls,"A trio of black female soul singers cross over to the pop charts in the early 1960s, facing their own personal struggles along the way.::Anonymous",6.5,0004937,Jamie Foxx,0461498,Beyoncé
2473602,Get on Up,A chronicle of James Brown's rise from extreme poverty to become one of the most influential musicians in history.::Anonymous,6.9,1569276,Chadwick Boseman,1734700,Nelsan Ellis
0262432,George Washington,"A group of children, in a depressed small town, band together to cover up a tragic mistake one summer.::Anonymous",7.4,0262506,Candace Evanofski,0390184,Donald Holden
5301662,Marshall,"The story of Thurgood Marshall, the crusading lawyer who would become the first African-American Supreme Court Justice, as he battles through one of his career-defining cases.::Kenneth Chisholm",7.2,1569276,Chadwick Boseman,1265802,Josh Gad
0350258,Ray,"The story of the life and career of the legendary rhythm and blues musician Ray Charles, from his humble beginnings in the South, where he went blind at age seven, to his meteoric rise to stardom during the 1950s and 1960s.::Kenneth Chisholm",7.7,0004937,Jamie Foxx,0913488,Kerry Washington
