name,movie id,movie rating
The Shawshank Redemption,0111161,9.2
The Godfather,0068646,9.1
The Godfather: Part II,0071562,9.0
The Dark Knight,0468569,9.0
12 Angry Men,0050083,8.9
Schindler's List,0108052,8.9
The Lord of the Rings: The Return of the King,0167260,8.9
Pulp Fiction,0110912,8.8
"The Good, the Bad and the Ugly",0060196,8.8
The Lord of the Rings: The Fellowship of the Ring,0120737,8.8
Fight Club,0137523,8.8
Forrest Gump,0109830,8.8
Inception,1375666,8.7
Star Wars: Episode V - The Empire Strikes Back,0080684,8.7
The Lord of the Rings: The Two Towers,0167261,8.7
The Matrix,0133093,8.6
Goodfellas,0099685,8.6
One Flew Over the Cuckoo's Nest,0073486,8.6
Seven Samurai,0047478,8.6
Se7en,0114369,8.6
Life Is Beautiful,0118799,8.6
City of God,0317248,8.6
The Silence of the Lambs,0102926,8.6
It's a Wonderful Life,0038650,8.6
Star Wars: Episode IV - A New Hope,0076759,8.6
Saving Private Ryan,0120815,8.5
Spirited Away,0245429,8.5
Parasite,6751668,8.5
The Green Mile,0120689,8.5
Interstellar,0816692,8.5
Léon: The Professional,0110413,8.5
The Usual Suspects,0114814,8.5
Harakiri,0056058,8.5
The Lion King,0110357,8.5
The Pianist,0253474,8.5
Back to the Future,0088763,8.5
American History X,0120586,8.5
Terminator 2: Judgment Day,0103064,8.5
Modern Times,0027977,8.5
Psycho,0054215,8.5
Gladiator,0172495,8.5
City Lights,0021749,8.5
The Departed,0407887,8.5
The Intouchables,1675434,8.5
Whiplash,2582802,8.5
The Prestige,0482571,8.5
Once Upon a Time in the West,0064116,8.5
Grave of the Fireflies,0095327,8.4
Casablanca,0034583,8.4
Rear Window,0047396,8.4
Cinema Paradiso,0095765,8.4
Alien,0078748,8.4
Apocalypse Now,0078788,8.4
Memento,0209144,8.4
Joker,7286456,8.4
Raiders of the Lost Ark,0082971,8.4
The Great Dictator,0032553,8.4
The Lives of Others,0405094,8.4
Django Unchained,1853728,8.4
Paths of Glory,0050825,8.4
The Shining,0081505,8.4
WALL·E,0910970,8.4
Avengers: Infinity War,4154756,8.4
Sunset Blvd.,0043014,8.4
Princess Mononoke,0119698,8.4
Spider-Man: Into the Spider-Verse,4633694,8.4
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,0057012,8.4
Oldboy,0364569,8.4
Witness for the Prosecution,0051201,8.4
The Dark Knight Rises,1345836,8.3
Avengers: Endgame,4154796,8.3
Once Upon a Time in America,0087843,8.3
Aliens,0090605,8.3
Your Name.,5311514,8.3
Coco,2380307,8.3
American Beauty,0169547,8.3
Braveheart,0112573,8.3
Das Boot,0082096,8.3
3 Idiots,1187043,8.3
Toy Story,0114709,8.3
High and Low,0057565,8.3
