,0
0,Keanu (2016) 
1,Drumline (2002) 
2,Fast Color (2019) 
3,Black Dynamite (2009) 
4,Ghost Dog - The Way of the Samurai (2000) 
5,Dreamgirls (2006) 
6,Get On Up (2014) 
7,George Washington (2000) 
8,Marshall (2017) 
9,Ray (2004) 
10,Love and Basketball (2000) 
11,Barbershop (2002) 
12,Rize (2005) 
13,Beyond the Lights (2014) 
14,Hustle & Flow (2005) 
15,42 (2013) 
16,Chi-Raq (2015) 
17,American Gangster (2007) 
18,The Gospel According to André (2018) 
19,Monsters and Men (2018) 
20,Monster's Ball (2002) 
21,Middle of Nowhere (2012) 
22,Bad Boys for Life (2020) 
23,Akeelah and the Bee (2006) 
24,The Heart of the Game (2005) 
25,"What Happened, Miss Simone? (2015) "
26,Queen & Slim (2019) 
27,Beats Rhymes & Life: The Travels of a Tribe Called Quest (2011) 
28,The Princess and the Frog (2009) 
29,Presenting Princess Shaw (2016) 
30,Our Song (2001) 
31,Burning Cane (2019) 
32,Miss Sharon Jones! (2016) 
33,Madeline's Madeline (2018) 
34,God Grew Tired Of Us (2007) 
35,Waves (2019) 
36,The Black Power Mixtape 1967-1975 (2011) 
37,Barbershop: The Next Cut (2016) 
38,Inside Man (2006) 
39,Top Five (2014) 
40,Standing in the Shadows of Motown (2002) 
41,Selah and the Spades (2020) 
42,The Black Panthers: Vanguard Of The Revolution (2015) 
43,Baadasssss! (2003) 
44,The Central Park Five (2012) 
45,Beasts of the Southern Wild (2012) 
46,Whitney (2018) 
47,Dope (2015) 
48,Miles Davis: Birth of the Cool (2019) 
49,Detroit (2017) 
50,Premature (2020) 
51,Clemency (2019) 
52,Dear White People (2014) 
53,Dave Chappelle's Block Party (2006) 
54,Just Mercy (2020) 
55,Creed II (2018) 
56,Good Hair (2009) 
57,Straight Outta Compton (2015) 
58,Support the Girls (2018) 
59,It Comes At Night (2017) 
60,Luce (2019) 
61,Django Unchained (2012) 
62,Girls Trip (2017) 
63,Southside With You (2016) 
64,Pariah (2011) 
65,Precious: Based on the Novel Push by Sapphire (2009) 
66,Keep On Keepin' On (2014) 
67,"Hale County This Morning, This Evening (2018) "
68,Step (2017) 
69,13th (2016) 
70,Loving (2016) 
71,Toni Morrison: The Pieces I Am (2019) 
72,Blindspotting (2018) 
73,Whose Streets? (2017) 
74,Strong Island (2017) 
75,Night Comes On (2018) 
76,O.J.: Made in America (2016) 
77,Tangerine (2015) 
78,The Last Black Man in San Francisco (2019) 
79,Fruitvale Station (2013) 
80,Fences (2016) 
81,20 Feet From Stardom (2013) 
82,Mudbound (2017) 
83,Amazing Grace (2019) 
84,Sorry to Bother You (2018) 
85,The Hate U Give (2018) 
86,Hidden Figures (2017) 
87,Dolemite Is My Name (2019) 
88,Creed (2015) 
89,I Am Not Your Negro (2017) 
90,Widows (2018) 
91,12 Years a Slave (2013) 
92,If Beale Street Could Talk (2019) 
93,Selma (2014) 
94,Moonlight (2016) 
95,Spider-Man: Into the Spider-Verse (2018) 
96,Get Out (2017) 
97,BlacKkKlansman (2018) 
98,Us (2019) 
99,Black Panther (2018) 
100,Related News
101,More Countdown
102,Movie & TV News
103,Featured on RT
104,Top Headlines
105,Tag Cloud
106,Follow Us
